date,Open,High,Low,Close,Volume
17.11.2025 20:15:00.000,4016.531,4028.024,4015.54,4027.095,7780
17.11.2025 20:30:00.000,4027.137,4031.743,4025.422,4030.022,6169
17.11.2025 20:45:00.000,4030.051,4044.049,4029.488,4041.025,6600
17.11.2025 21:00:00.000,4040.924,4045.73,4038.779,4044.479,2948
17.11.2025 21:15:00.000,4044.526,4046.011,4042.745,4043.805,1805
17.11.2025 21:30:00.000,4043.831,4044.993,4042.752,4043.597,1262
17.11.2025 21:45:00.000,4043.63,4046.361,4042.763,4045.869,1356
17.11.2025 23:00:00.000,4049.999,4055.674,4046.401,4050.288,4185
17.11.2025 23:15:00.000,4050.263,4052.529,4047.653,4048.148,2524
17.11.2025 23:30:00.000,4048.116,4049.711,4034.53,4037.385,5519
17.11.2025 23:45:00.000,4037.295,4042.823,4028.677,4036.905,7832
18.11.2025 00:00:00.000,4036.942,4040.464,4030.419,4036.362,6020
18.11.2025 00:15:00.000,4036.435,4037.025,4027.395,4030.879,6778
18.11.2025 00:30:00.000,4030.844,4039.331,4028.767,4037.173,4072
18.11.2025 00:45:00.000,4037.113,4041.213,4032.152,4040.225,4650
18.11.2025 01:00:00.000,4040.247,4045.132,4035.045,4041.019,8929
18.11.2025 01:15:00.000,4040.948,4045.019,4037.031,4040.416,4829
18.11.2025 01:30:00.000,4040.449,4041.482,4030.163,4032.951,5280
18.11.2025 01:45:00.000,4032.977,4033.907,4022.382,4025.085,5364
18.11.2025 02:00:00.000,4025.04,4034.479,4019.275,4034.308,5337
18.11.2025 02:15:00.000,4034.338,4034.567,4026.98,4030.761,3774
18.11.2025 02:30:00.000,4030.79,4036.035,4028.534,4030.122,4802
18.11.2025 02:45:00.000,4030.052,4030.997,4015.377,4017.751,5950
18.11.2025 03:00:00.000,4017.743,4019.746,4010.119,4014.707,5991
18.11.2025 03:15:00.000,4014.668,4015.36,4008.282,4012.822,4898
18.11.2025 03:30:00.000,4012.959,4026.332,4011.571,4022.065,4437
18.11.2025 03:45:00.000,4022.04,4022.163,4011.253,4013.365,4691
18.11.2025 04:00:00.000,4013.396,4013.511,4009.745,4011.063,3745
18.11.2025 04:15:00.000,4011.077,4018.261,4004.958,4017.836,6792
18.11.2025 04:30:00.000,4017.879,4018.033,4007.695,4010.358,4923
18.11.2025 04:45:00.000,4010.382,4012.315,4008.709,4010.552,3590
18.11.2025 05:00:00.000,4010.522,4014.479,4008.186,4012.242,4279
18.11.2025 05:15:00.000,4012.274,4022.105,4010.843,4016.932,3598
18.11.2025 05:30:00.000,4016.933,4024.988,4016.76,4023.847,5284
18.11.2025 05:45:00.000,4023.887,4025.307,4015.715,4019.005,4047
18.11.2025 06:00:00.000,4019.049,4020.58,4012.398,4012.629,4487
18.11.2025 06:15:00.000,4012.685,4015.794,4008.506,4014.14,4812
18.11.2025 06:30:00.000,4014.114,4015.561,4007.647,4011.358,4853
18.11.2025 06:45:00.000,4011.309,4015.731,4008.777,4009.123,3641
18.11.2025 07:00:00.000,4009.084,4009.513,4002.539,4008.5,5034
18.11.2025 07:15:00.000,4008.56,4010.935,4002.142,4002.374,3967
18.11.2025 07:30:00.000,4002.348,4015.507,3998.117,4011.79,6573
18.11.2025 07:45:00.000,4011.814,4017.655,4010.073,4013.754,3667
18.11.2025 08:00:00.000,4013.728,4027.039,4010.62,4025.149,6043
18.11.2025 08:15:00.000,4025.122,4026.334,4021.192,4022.29,4303
18.11.2025 08:30:00.000,4022.308,4042.853,4021.638,4037.233,7491
18.11.2025 08:45:00.000,4037.183,4041.661,4033.869,4036.825,4712
18.11.2025 09:00:00.000,4036.802,4039.294,4030.551,4033.38,4572
18.11.2025 09:15:00.000,4033.386,4040.122,4033.386,4034.895,4433
18.11.2025 09:30:00.000,4034.862,4037.441,4030.222,4037.441,4182
18.11.2025 09:45:00.000,4037.469,4047.29,4036.013,4040.344,4389
18.11.2025 10:00:00.000,4040.274,4045.18,4037.622,4040.835,4732
18.11.2025 10:15:00.000,4040.877,4043.373,4038.539,4038.539,3846
18.11.2025 10:30:00.000,4038.513,4043.742,4037.533,4043.211,3909
18.11.2025 10:45:00.000,4043.337,4050.514,4041.775,4044.228,4506
18.11.2025 11:00:00.000,4044.274,4048.758,4042.794,4045.635,2702
18.11.2025 11:15:00.000,4045.673,4049.186,4044.539,4048.571,3008
18.11.2025 11:30:00.000,4048.574,4050.377,4043.671,4044.903,2660
18.11.2025 11:45:00.000,4044.959,4045.391,4037.009,4039.414,3726
18.11.2025 12:00:00.000,4039.383,4045.049,4037.933,4040.033,4533
18.11.2025 12:15:00.000,4040.071,4043.466,4032.24,4033.294,4745
18.11.2025 12:30:00.000,4033.272,4040.092,4032.075,4033.749,4022
18.11.2025 12:45:00.000,4033.724,4035.524,4029.169,4032.436,5081
18.11.2025 13:00:00.000,4032.41,4046.407,4031.124,4043.133,7910
18.11.2025 13:15:00.000,4043.193,4053.203,4040.877,4049.105,6319
18.11.2025 13:30:00.000,4049.062,4068.231,4048.004,4063.433,9677
18.11.2025 13:45:00.000,4063.458,4070.41,4062.166,4065.209,6061
18.11.2025 14:00:00.000,4065.3,4075.194,4063.57,4074.028,7065
18.11.2025 14:15:00.000,4073.974,4080.662,4073.291,4074.817,5680
18.11.2025 14:30:00.000,4074.855,4082.122,4069.797,4073.513,12180
18.11.2025 14:45:00.000,4073.541,4077.601,4058.057,4065.862,13073
18.11.2025 15:00:00.000,4065.827,4068.11,4053.452,4059.594,11773
18.11.2025 15:15:00.000,4059.56,4067.558,4054.263,4064.919,13545
18.11.2025 15:30:00.000,4064.883,4072.394,4058.239,4060.41,11460
18.11.2025 15:45:00.000,4060.344,4061.146,4048.878,4053.018,8665
18.11.2025 16:00:00.000,4053.081,4054.675,4040.482,4053.508,12381
18.11.2025 16:15:00.000,4053.478,4065.579,4051.443,4064.883,8329
18.11.2025 16:30:00.000,4064.941,4066.983,4057.772,4062.429,6438
18.11.2025 16:45:00.000,4062.468,4069.365,4060.652,4066.945,4812
18.11.2025 17:00:00.000,4066.915,4070.714,4063.739,4066.281,4414
18.11.2025 17:15:00.000,4066.322,4068.188,4059.292,4061.643,5572
18.11.2025 17:30:00.000,4061.55,4075.876,4060.521,4073.126,5610
18.11.2025 17:45:00.000,4073.194,4074.546,4069.869,4071.601,4690
18.11.2025 18:00:00.000,4071.645,4074.854,4067.871,4068.544,4393
18.11.2025 18:15:00.000,4068.548,4070.66,4063.194,4065.827,4481
18.11.2025 18:30:00.000,4065.872,4073.017,4063.633,4070.881,4193
18.11.2025 18:45:00.000,4070.929,4074.616,4069.341,4072.732,3816
18.11.2025 19:00:00.000,4072.759,4079.896,4072.652,4079.615,3738
18.11.2025 19:15:00.000,4079.655,4080.99,4075.033,4075.703,3828
