entry_time,exit_time,direction,entry_price,stop_loss,take_profit,status,pnl,balance
2022-12-19 08:00:00,2022-12-19 13:45:00,Buy,1794.625,1791.125,1801.625,Loss,-3.5,331.0
2022-12-20 00:00:00,2022-12-20 03:00:00,Sell,1786.548,1790.048,1779.548,Loss,-3.5,327.5
2022-12-20 03:00:00,2022-12-20 03:15:00,Buy,1787.995,1784.495,1794.995,Win,7.0,334.5
2022-12-20 08:30:00,2022-12-20 09:30:00,Buy,1798.795,1795.295,1805.795,Win,7.0,341.5
2022-12-20 09:30:00,2022-12-20 12:45:00,Buy,1804.285,1800.785,1811.285,Loss,-3.5,338.0
2022-12-20 13:30:00,2022-12-20 14:45:00,Buy,1802.348,1798.848,1809.348,Win,7.0,345.0
2022-12-20 14:45:00,2022-12-20 15:00:00,Buy,1809.198,1805.698,1816.198,Win,7.0,352.0
2022-12-20 15:00:00,2022-12-20 15:15:00,Buy,1813.855,1810.355,1820.855,Win,7.0,359.0
2022-12-22 12:45:00,2022-12-22 13:30:00,Buy,1816.815,1813.315,1823.815,Loss,-3.5,355.5
2022-12-22 14:15:00,2022-12-22 14:30:00,Sell,1806.025,1809.525,1799.025,Win,7.0,362.5
2022-12-22 18:00:00,2022-12-22 18:45:00,Sell,1792.015,1795.515,1785.015,Win,7.0,369.5
2022-12-27 01:45:00,2022-12-27 09:30:00,Buy,1802.705,1799.205,1809.705,Win,7.0,376.5
2022-12-27 14:30:00,2022-12-27 15:00:00,Buy,1805.265,1801.765,1812.265,Win,7.0,383.5
2022-12-27 15:15:00,2022-12-27 15:30:00,Buy,1816.598,1813.098,1823.598,Win,7.0,390.5
2022-12-28 08:00:00,2022-12-28 09:00:00,Sell,1808.045,1811.545,1801.045,Win,7.0,397.5
2022-12-28 09:00:00,2022-12-28 12:30:00,Sell,1802.358,1805.858,1795.358,Loss,-3.5,394.0
2022-12-28 18:30:00,2022-12-29 05:45:00,Sell,1806.277,1809.777,1799.277,Loss,-3.5,390.5
